1,"A changing society should not cling to traditional family models. Society is changing, and the traditional idea of the nuclear family with married mother and father is no longer the only acceptable alternative. The reason that many countries are beginning to award legal rights to gay couples is because the stability of such relationships is now recognised. There is no reason, therefore, why such couples cannot provide a stable and loving upbringing for children.
"
1,"Nuclear families are failing; can hardly be held up against gay adoption. Of all families in Australia, 22% of them are single parent families. Few will fully establish a child's potential. Over 45,000 Australian marriages will end in divorce, few of these will be families. So, it is wrong to promote the nuclear family when it is failing so badly, and it is wrong to hold-out on gay adoption in favor of the nuclear family, for the same reason. 
"
1,"The sexuality of parents has no effects on a child's future life. American Psychological Association (Resolution on Sexual Orientation, Parents, and Children) ""There is no scientific evidence that parenting effectiveness is related to parental sexual orientation: lesbian and gay parents are as likely as heterosexual parents to provide supportive and healthy environments for their children""; and ""research has shown that the adjustment, development, and psychological well-being of children is unrelated to parental sexual orientation and that the children of lesbian and gay parents are as likely as those of heterosexual parents to flourish.""
"
2,"Love is not sufficient for marriage, or brothers/sisters could marry. The idea that marriage should simply be based on two people who love each other is easily dismissed when you consider a brother and sister who would wish this arrangement.
"
2,"  Evolution theory makes it clear that homosexual activities are perversions of natural biological laws. The basis of evolution is the reproduction of beneficial genes and the elimination of  detrimental ones in succeeding generations -- the ""survival of the fittest."" In our species that requires heterosexual intercourse.  If accidental mutation had ever produced a ""homosexual gene,"" lack of propagation would have quickly bred it out of Homo sapiens.  Thus, homosexuals do what they do because they want to, not because they have to.  That they have a right to do it is no excuse for new laws to force others to approve of it.  Every known human community has had the sound scientific foundation of heterosexual marriage, which we are now urged to destroy for a minority's perverted pleasures.  "
1,"Actually, homosexuality could be argued to be an evolutionary benefit for a species that is overproducing. To help save us from our own over population of the planet the gays and lesbians may be the products of beneficial genes. So, your argument, from a ""scientific"" evolutionary point of view has failed to take this important point into account. Those who keep recklessly reproducing may be the perversions of natural biological laws, ever think about that?"
2,"How can two gay individuals celebrate marriage?  The purpose of entering into a marriage contract in the eyes of Christians is for a man and woman to give themselves to one another--freely, totally, faithfully and fruitfully (fruitful being that children may bare forth).  God wanted to make this free, total, faithful and fruitful love so evident, so real to us, that he clearly stamped it into our bodies as male and female--when we come together in the sexual union (intercourse), it is a reminder that we are called to a total self-giving, nuptial love for one another.  This is what marriage is.  Lawyers will never redefine this in the eyes of the faithful (no matter what changes to civil law they might make).  Next, marriage is a sacrament.  A sacrament is defined by newadvent.org as ""an outward sign of inward grace, instituted by Christ for our sanctification.""  The substance of the ""sacrament of marriage"" or the ""sanctity of marriage"" i.e. the word ""marriage"" itself, occurs only in the religious context.  Those ""religions"" out there who recognize homosexual unions and call it ""marriage,"" are in the eyes of their Christian brothers and sisters, illegitimately and falsely interpreting the sacrament of marriage.  And it is not me or other people out there who define what the sacrament of marriage is; man does not have this authority.  It was Christ who defined marriage in holy scripture and it is from His authority that we draw our definition.  There are several scripture passages to site.  In Ephesians 5:22 for example: ""Let women be subject to their husbands, as the Lord: because the husband is the head of the wife, as Christ is the head of the Church.  He is the savior of his body.  Therefore as the Church is subject to Christ, so also let the wives be to their husbands in all things.  Husbands, love your wives, as Christ also loved the Church...""  This passage defines marriage as a call for men and women to come together in marriage, to serve Christ, to serve each other, their family, and the community.What I am saying is that the union of same sexes cannot fulfill the sacramental definition of marriage, and hence the argument misses the mark.  It is ultimately an improper understanding of sacramental marriage.  The effort for ""gay marriage"" is really an effort to seek legitimacy.  Any attempt to do so is invalid in the eyes of Christians (and I am sure other faiths...Islam, Judaism etc) who properly understand the sacrament of marriage.  So it doesn't matter if the lawyer says it's legal.  No matter how much homosexuals want their relationships recognized and validated through the sacrament of marriage, it will never happen.  Yet despite this, we love our homosexual brothers and sisters very much, we simply do not condone their sexual relationships outside of marriage (the same goes for heterosexual sexual relationships outside of marriage).  This is not a form of discrimination, it is a matter of affirming a decision to live the life we are ALL called to live by Christ--one of chastity (a virtue which excludes or moderates the indulgence in the sexual appetite) and purity (not confusing lust for love).  Only in this way will we find true fulfillment in life, as we discover the beauty and purpose of our human dignity--the call to live a life of free, total, faithful and fruitful love.  This selfless love is pure and free of lust.  We do not use an individual merely for our sexual gratification, we come to see a person for who they are!  Marriage between a man and a woman is a reminder, an icon if you will, of this total self giving love.  This is why we fight to keep people out there from deconstructing the definition of this sacred institution.  If you are interested in finding out more about this ""Theology of the Body"" check out Pope John Paul's teachings on the theology of the body, explained by Christopher West (   http://www.tobinstitute.org   /).  It is the most profound, uplifting and eye opening material I have ever studied.  It has changed my life and how I view others."
1,"We're talking about civil marriage here, not sacramental or religious marriage. If your religion doesn't want to honor a same-sex union, fine, but at the same time, whatever happened to separation of church and state?!?!?!?"
2,I like your explanation of marriage.  I believe you are right. It is so sad that people exchange the truth for a lie.   People who believe in gay marriage set a trap for themselves.  All who believe in Christ have nothing to loose.
1,"I think you are mistaken about gay marriage, Jesus never said anything about it. What we read in the bible are what they think Jesus said and even they don't agree about many things in relation to Jesus, so not a good arguing point.However, the bible is clear that it is anti homosexual, so your right among ""believers"" and the ""faithful"", most likely your mind won't be changed to accept gay marriage. This means that you, your fellow church friends and the church itself should stay out of what is really a secular question on discrimination. Since, before we ever get the proof of whether or not heaven exists, marriage has many secular implications. Peoples taxes, property rights, health and death issues, all fall into the realm of secular legislation and as such, our government is expected to treat all people equally. This puts your feelings and faith second but it is the right thing to do."
2,"To Michelle:God is the one that created people (whether they want to deny his existence or not) therefore everyone has some measure of good in them and also a conscience. So people who chose to practice homosexuality or follow other gods are only searing their conscience.  Nature itself testifies that God exist, for instance observe the change in seasons no human being is smart enough to invent that.  Not even animals practice such depravity as some humans.  Remember sin came into the world because of Mankind.I am a Christian and I refuse to agree with three quarters of the people saying it is right when God find that lifestyle detestable.  Any Christian who tells you or anybody else that practicing homosexuality is O.K with God  he/she in their own sweet way is telling you to go hell and the spirit of truth is not them.  Don't be deceived the devil is a roaring lion seeking who he may devour.  The Bible said I present before you life or death choose life.  The life you live here on earth will determine where you spend eternity it is either heaven or hell.  Jesus is your savior while you are on earth and he is your judge once your spirit leaves your body especially if you are not a Born again Believer filled with the Holy Spirit.  A day will come when every knee shall bow and every tongue shall confess that Jesus Christ is Lord.  There is only one God.You may not like what I have to say, that is O.K the truth alone is controversial."
1,"If you study history, it is crystal clear that people have universally labeled things they could not comprehend as god. Mankind has created thousands of gods in its image during the 100,000 years that humans have existed in our 4.7 billion year old earth and 13.7 billion year old universe.As we learn more about all aspects of the universe and the evolution of biological life in it, the gods we created keep getting smaller and smaller. At this point, we can explain pretty much everything without invoking a sky daddy.It is way more intellectual honest to say that ""this is something we don't know yet but we are looking into it"" than to say that because we don't understand something that it must be ""god did it"".Again if you study history, you can only come to the conclusion that we are all 99.999% atheists. Most people only believe in one of the thousands of gods we have invented. Some go one god further and become 100% atheists.Now then, any argument against same sex marriage that makes reference to any of the gods we have invented is not an argument at all.Laws made by the state should not rely on such fake arguments. The state should use science base its decisions on evidence.In contrast, faith is belief in something not based on any evidence. Churches of course are welcome to use their version of god any time and make their decision based of faith.It is, however, dishonest to put faith and truth in the same sentence. Only evidence and truth belong together.Separation of church and state means freedom OF and FROM religion.People using their god argument against same sex marriage, are welcome to use it within their church but join the 21st century and let the state make decisions that do not discriminate anyone.We have a supreme court for a reason: to prevent any majority from discriminating against a minority.Be happy within your faith and let other be happy within theirs or be happy without any faith."
1,"The US is one of the few countries with a constitutional separation of church and state.Within such a system, marriage should only be defined by the state and 2 people (same or different sex) should go to city hall to get married. Priest should not be able to perform legal marriages.Only after a couple is legally married, should they have the option of going to a church of their choice to celebrate their marriage within the rituals of that church with their church community.Because of separation between church and state, churches have no say in how the state defines marriage but in pure symmetry, the state can not require churches to organize religious celebrations if they do not want to.Same sex marriage was legalized in the Netherlands in 2001, Belgium in 2003, Massachusetts in 2004, Spain and Canada in 2005, South Africa in 2006, California and Connecticut in 2008 and will be in Norway in 2009 (see    http://en.wikipedia.org/wiki/Same-sex_marriage   ).The sky has not fallen, heterosexual marriages have not disappeared and divorces have not exploded, these countries have not gone up in smoke, ... In fact, except for these happily married same sex couples, nothing has changed.So, don't be afraid of your own shadow and support same sex marriage.Society has to continue to eliminate any form of discrimination. We did abolish slavery, gave women the right to vote, allowed mixed race marriage, ... This is one more thing that makes the world a better place. "
1,Marriage between gays and not-gays should not be an issue of the State - then marriage becomes a private matter...and people can do what they want.  That is the mistake society has made....rather than ask if gays should be married - we should ask should the State regulate marriages?  If we were to end state regulation on marriage - then gays and the not so gays can marry however they way.  Heck even a gay guy and a straight girl could marry- think of all the possibilities! 
2,"The institution of marriage is centered around reproduction, disqualifying homosexuals - Marriage laws are designed in recognition of a unique biological phenomenon. They do not create marriages so much as apply appropriate legal sanctions and privileges to the inherent responsibilities and needs where a man and a woman have or will likely reproduce sexually. Marriage was a means to solidifying and stabilizing families so that reproduction and child-rearing would be more succesful. This is why adoption laws are kept separate - the biological realities are different. So also it is bad jurisprudence to lump pairs of people that are not going to conceive a child together (via a mixing of their DNA) in with those who will. For those morbid people that lay awake at night wondering how they will get into an emergency room with their lovers I suggest a chat with hospital administrators to find out what you can do to ensure access, or maybe switch hospitals. But don't muddy the legal waters by confusing lovers or best friends with those who conceive together. You do realize that best friends are denied access on the same terms as gay lovers and it can be just as disappointing. 
"
1,"Lets begin with this..love is a profoundly tender, passionate affection for another person, a feeling of warm personal attachment or deep affection. Now a question..if a woman has the right to love a man, why cant a woman love a woman or a man love a man? Love is love and it has no gender. You cant help who you love. Who is anyone in this world to say who someone else can fall in love with? People say that being gay is choice. Well, heres another question..do you wake up in the morning and say ""hey, I think I'm going to be straight today""? I don't think so. You are not born straight or gay. You are born asexual. You have no sexual orientation. As you grow and develop you become attracted to things and for some its the opposite sex and for others its the same sex. Gays are as normal as straights or anything else in this world. Besides, who are any of us to say what NORMAL is? I've been on several websites about this gay marriage thing and most of them argued that it wouldnt be right in the eyes of ""god"". Now, I dont believe in god, but if there is in fact a god than why would he have made gays if he wouldnt approve of them? It just doesnt make any sense. Other websites have tried arguing that gays are the reason for AIDS and STDS. This is not true. If you search for the answer to the quesion ""where did AIDS orginate from?"" you would find several different answers, but none would say anything about gays. People are trying their hardest to prove that homosexuality should not be allowed by throwing false information around and that will get you no where. Another thing that people are trying say is that gay parents will raise gay children. This isn't true either. This goes back to the asexual thing. If you're going to be gay you are going to be gay. It doesn't matter who raises you or what your religion is or anything that you have any control over. I know a gay couple bothwho has two daughters  of which are straight. So that is proof that that suggestion is indeed false. And as for the statements saying that gay marriages are unatural because in ""traditional"" marriages the man and woman can have children, there are plenty of straight couples out there that are popping out children left and right! It doesn't matter how many gays there are because there will always be straight couples and there will always be more children being born. And as for gays, there are plenty of ways for them to also have children. So lets put that arguement to a rest, please! Gays deserve the same rights as straights. Gays are no different than straights. They wake up every morning and they have a life. The only thing thats different about them is they love someone of the same sex rather than the opposite. There is absolutely no reason why a gay couple should not be able to get married and have the same rights as a straight couple. "
1,"Government should not determine or exercise legal supervision over marriage.I favor a domestic civil contract for all people who choose to live together.  You get married in your church and file a domestic civil contract with the government.  The contract would provide you the rights to kinship, survivorship, joint ownership, insurance privileges (and all of the other some 4000 rights that only married people can now claim). And, for what it is worth, this would cover other cases such as a son taking care of his aging stepmother.Would that not solve this insane problem?No. Some other stupid thing would come up where gays would be denied their rights.We will never have equal rights until all people share those rights. I am not gay. But I will stand with them until they share equal rights under the law.Michelle"
2,"No matter how one looks at this question, the responses all come down to a clash of moral and religious viewpoints, or lack thereof. True, separation of church and state is said to be in effect, but has religion ever been truly separate from government? I don't think it has, or is even possible honestly, because people will always bring their religious and non-religious and ethical ideas to the table on highly controversial issues such as this one. And if they did not, we would truly live in a country that is even more closed minded and one-dimensional than many may claim it to be. If people truly kept their religious beliefs out of it, then we would be living under a much more stifling government, not a more open and tolerant one."
2,"Not all those who oppose gay marriage HATE gays, as so many commenters have been instigating. Many seem to be focusing on the ""love is love"" idea, which sounds fine, but there is always the rebuttal that this particular kind of love is ""unnatural."" I have to say that I agree, gay marriage is unnatural. Many have posed the question, ""what is natural?"" Given, it is now popular and sometimes very necessary in society to make use of ""unnatural"" processes (i.e radiation and chemotherapy for cancer), as long as they have the potential for positive results. However, in the case of gay marriage, I believe that anatomy alone is sufficient proof of how a man and a woman are the only intended course, religious standpoints aside, and how anything else is not only impossible, but indeed unnatural. "
2,"You shall not lie with a male as with a woman. It is an abomination. (Leviticus 18:22)Therefore, God also gave them up to uncleanliness, in the lusts of their hearts, to dishonor their bodies among themselves, who exchanged the truth of God for the lie, and worshipped and served the creature rather than the Creator, who is blessed forever. Amen. For this reason God gave them up to vile passions. For even their women exchanged the natural use for what is against nature. Likewise also the men, leaving the natural use of the woman, burned in their lust for one another, men with men committing what is shameful, and receiving in themselves the penalty of their error which was due. And even as they did not like to retain God in their knowledge, God gave them over to a debased mind, to do those things which are not fitting; being filled with all unrighteousness, sexual immorality, wickedness, covetousness, maliciousness; full of envy, murder, strife, deciet, evil-mindedness; they are whisperers, backs-biters, haters of God, violent, proud, boasters, inventors of evil things, disobedient to parents, undiscerning, untrustworthy, unloving, unforgiving, unmerciful; who, knowing the righteous judgement of God, that those who practice such things are deserving of death, not only do the same but also approve of those who practice them. (Romans 1:24-32)I understand that I will get a lot of flack for this, but I'm just offering some very clear-cut answers to this question. I didn't write it, but it comes from an extremely reliable Source, and I believe it."
1,"Doesn't say anything in there about marriage.And once again, women are off the hook. Lesbians seem to be fine with those passages."
2,"Well, I am certainly glad I'm not in Canada, but I am inclined to my view completely agreeing with the following verse (which I don't intend to offend anyone with, it is just my belief and therefore you need to tolerate it too, just as I suppose I will have to if you disagree)....the verses are 1 Corinthians 6:9-11: ""Or do you not know that the unrighteous will not inherit the kingdom of God?  Do not be decieved; neither fornicators, nor idolaters, nor adulterers, nor effeminate, NOR HOMOSEXUALS, 10 nor thieves, nor the covetous, nor drunkards, nor revilers, nor swindlers, shall inherit the kingdom of God. 11 And such WERE some of you; but you were washed, but you were sanctified, but yiou were justified in the name of the Lord Jesus Christ, and in the Spirit of our God.""  thus even from these verses you can see that homosexuality IS a choice if there were indeed some who practiced it and then turned from it after obeying the gospel.  It doesn't matter what I believe, it doesn't matter what you believe this verse means or says, it matters what it DOES say, and that my friends is quite obvious, homosexuality is wrong."
1,"How can the word ""homosexual"" be in the   bible   when it was only coined about 80 years ago?"
